k a,Unstubbed entities log now identifies incomplete template arguments,101368,"Previously, VectorCAST/C++ only gave the reason ""Function uses a template with an incomplete parameter type"" in the Unstubbed Entities Log, without specifying the incomplete type. Starting with VectorCAST version 2024 SP6, the incomplete type is noted in the Unstubbed Entities Log.",Correction in newer version (release notes),No Risk. This is a usability enhancement that provides more information for a known issue. It does not fix a correctness bug.,No Risk,
k a,Invalid coverage instrumentation around __attribute__((fallthrough)),101378,"In previous versions of VectorCAST/C++, attempting to instrument a statement which contained only an __attribute__ designation would result in an instrumented source file with syntax errors. This has been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a syntax error which is easily detected by a developer.,No Risk,
k a,"GUI shows error message about PATH, but runs command anyway",101418,"In previous versions of VectorCAST, when executing external programs with a space in the file path, the message window would sometimes incorrectly indicate that the program could not be found or fail to indicate when the program could not be found. These problems are fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI that does not affect test correctness.,No Risk,
k a,Instrumentation causes compile error with TIC coverage,101473,"In previous versions of VectorCAST/QA, attempting to instrument a lambda inside of an external template member function definition which has differing template parameter names from the member function's declaration would result in a syntax error in the instrumented source code when the ""Instrument template instantiations"" option was enabled. This problem has been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This bug causes a syntax error which is easily detected.,No Risk,
k a,File Version Command section in Management report is empty with SFP set,101618,"Previously, when generating the Management report in a Cover environment with the ""File version command"" option (VCAST_FILE_VERSION_COMMAND) set to a command as well as the ""Source File Perspective"" option (VCAST_COVERAGE_SOURCE_FILE_PERSPECTIVE) set to True, the file version information was missing from the report. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),"No Risk. If required, version could be added manually.",No Risk,
k a,Cleared file scope probe point does not remain deleted after re-opening environment,101666,"In previous versions of VectorCAST/C++ and VectorCAST Cover, clearing a file scope probe point in the probe editor would not save the change if no other probe points had changed. This problem is fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a minor usability bug. The fix prevents a configuration change from being lost but a developer would likely notice and correct this.,No Risk,
k a,Coverage reports missing header files with SFP set,101703,"In previous versions of VectorCAST/C++, Coverage reports could potentially be missing header coverage when the instrumented header contained source code that was not testable, when coverage option ""Source File Perspective"" (VCAST_COVERAGE_SOURCE_FILE_PERSPECTIVE) was set to True. This problem has been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),"No RIsk, this is a false positive, hiding coverage where there should be such. It is easily detected during test development.",Not Evaluated,
k a,Environment directory not deleted using File > Delete Environment in SFP,101733,"Previously, when deleting a Cover environment using the File > Delete Environment menu item while the coverage option ""Source File Perspective"" (VCAST_COVERAGE_SOURCE_FILE_PERSPECTIVE) was set to True, a file was left behind, prohibiting the environment directory from being deleted. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a minor file system cleanup issue that does not affect the correctness of the test results.,No Risk,
k a,GNU target script 'execute_gdb.py --debug' not working,101742,"Previously, when running the GNU target script 'execute_gdb.py --debug', VectorCAST RSP did not wait for the gdb session to be ended by the user and did not end the QEMU subprocess when the gdb session ended. These issues have been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This bug affects the debugging workflow not the correctness of the tests or reports.,No Risk,
k a,Harness compile error when array sized by macro that matches enum in namespace,101744,"Previously, VectorCAST/C++ displayed a compile error in the test harness for source code with an array sized by a macro with the same name as an enum in a namespace. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a compile error which is easily detected and fixed by a developer.,No Risk,
k a,"Parse error 'no operator ""="" matches these operands'",101810,"Previously, VectorCAST/C++ incorrectly gave the parse error 'no operator ""="" matches these operands' for some code that did compile successfully. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Reserve NVLM floating license type before named user,101812,"Previously, VectorCAST attempted to reserve named user NVLM licenses prior to floating licenses. Starting with version 2024 SP6, a reserve of a floating license is attempted first.",Correction in newer version (release notes),No Risk. This is a licensing efficiency issue that does not affect test correctness.,No Risk,
k a,Project tree still shows coverage after environment has been removed with SFP set,101823,"In previous versions of VectorCAST Project, changes to the Project structure (such as compiler or testsuite deletions), could fail to refresh the Project level coverage when the coverage option ""Source File Perspective"" (SFP) was set to True. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI. The data is still correct but the display is stale.,No Risk,
k a,Compile errors using VCAST_ENABLE_DATA_CLEAR_API with MC/DC coverage in vcwrap workflow,101860,"In previous versions of VectorCAST Cover, instrumenting a source file for MC/DC coverage with VCAST_ENABLE_DATA_CLEAR_API enabled could result in compile errors with the instrumented file when using the vcwrap workflow. This problem has been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This bug causes a compile error which is easily detected and fixed.,No Risk,
k a,Compile error in test harness while stubbing extern template,101913,"Previously, VectorCAST/C++ would fail to build the test harness with the error message ""error: specialization of avoid std::allocator<"" while attempting to automatically generate a stub for an extern template. This problem has been resolved in VectorCAST version 2024 SP6. VectorCAST/C++ no longer attempts to stub such a template.",Correction in newer version (release notes),No Risk. This is a compile error which is easily detected and fixed.,No Risk,
k a,libVcRecorder.so is not thread safe,101924,"Previously, vcshell did not support capturing compile commands that resulted in multiple spawns from threads (e.g., the Clang --offload-arch option). Support for this functionality has been added for Linux and Windows (but not Cygwin) in VectorCAST version 2024 SP6.",Correction in newer version (release notes),"No Risk, vcshell is not used.",No Risk,
k a,Incorrect MC/DC Equivalence report when generated with SFP set,101927,"Previously, VectorCAST/C++ and VectorCAST Cover generated an incorrect MC/DC Equivalence report when both ""Simplified Condition Coverage"" (VCAST_SIMPLIFIED_CONDITION_COVERAGE) and ""Source File Perspective"" (VCAST_COVERAGE_SOURCE_FILE_PERSPECTIVE) options were set to True. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk - SFP option is not used.,Not Evaluated,
k a,MC/DC Pairs information inadvertently displayed with simplified condition coverage and SFP set,101928,"Previously, in VectorCAST Projects with the Coverage option ""Source File Perspective"" (SFP) set to True and with MC/DC or Statement+MC/DC coverage instrumented in environments, viewing coverage incorrectly displayed MC/DC Pairs information when the Coverage option ""Simplified Condition Coverage"" (VCAST_SIMPLIFIED_CONDITION_COVERAGE) was also set to True. This problem has been corrected in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a usability bug in the display of information and does not affect the correctness of the underlying coverage data.,Not Evaluated,
k a,Source column lines not calculated when MC/DC expression has a condition with macro and SFP is set,101947,"Previously, in VectorCAST/C++ unit test environments and Cover environments with the coverage option ""Source File Perspective"" (SFP) set to True and instrumented with MC/DC or Statement+MC/DC coverage, if the source code contained macros within an MC/DC expression,VectorCAST's instrumenter would mistakenly display a database load warning on a line in the Coverage Viewer and Aggregate Coverage report and the conditions within the expression were not displayed properly. This problem has been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. The incorrect display of MC/DC conditions for a macro is shown together with a database warning. It is easily detectable druing test development.,Not Evaluated,
k a,Disabling unit options from build command interface (BCI) breaks GPGPU instrumentation,101977,"In previous versions, when instrumenting with the vcwrap workflow, VectorCAST Cover might have ignored unit options specifying GPGPU device mode ('__CUDA_ARCH__','VCAST_GPGPU_DEVICE'), leading to instrumentation being incorrectly applied to host functions for the unit. Such incorrectly-applied instrumentation would generally compile and link correctly, and likely would only be detected at runtime when device coverage was missing. (Inspection of the instrumented source file would reveal incorrectly-placed instrumentation points.) This problem has been fixed in VectorCAST version 2024 SP6 such that GPGPU device mode unit options are honored with vcwrap and any GPGPU device mode functions are instrumented accordingly.",Correction in newer version (release notes),No Risk. This bug could lead to incorrect instrumentation that compiles and links but fails to collect the necessary coverage data. This is a silent failure that is easily detectable during test development and is of no risk.,No Risk,
k a,Parse error when taking address of Diab full-width bit fields,102008,"Previously, VectorCAST/C++ incorrectly gave the error ""taking the address of a bitfield is not allowed"" when parsing Diab code which takes the address of a bit field. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Environment build error when using parallel processing,VC-147,"In previous versions of VectorCAST/C++, building an environment while the environment variable VCAST_NUM_JOBS was set to a number greater than 1 could cause arguments from the C_COMPILE_CMD to be incorrectly used for preprocessing, causing a compiler error in the test harness. This problem is fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This bug causes a compile error which is easily detected by a developer.,No Risk,
k a,VectorCAST Project not using source files in base directory when displayingimported results when SFP is set,VC-167,"Previously, when the coverage option ""Source File Perspective"" was set to True, VectorCASTProject incorrectly relied on the original source file paths, instead of using the base directorypaths, when displaying execution and coverage data on the Files tab. The problem has been corrected in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk - SourceFile Perspective is not used,Not Evaluated,
k a,Generating the MC/DC Test Case report fails when SFP set,93021,"Previously, generating the MC/DC Test Cases report failed in a Cover environment with SourceFile Perspective (SFP) set. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),NoRisk. SourceFile Perspective is not used.,No Risk,
k a,Iterations in Nested Compounds Not Reported Correctly,97883,"Previously, iterations for nested compound tests were incorrect in coverage reports. This has been fixed in VectorCAST version 2024 SP5. CORRECTION:This fix is for incorrectly numbered iterations for nested compound tests in execution reports, and not coverage reports as originally specified.",Correction in newer version (release notes),"NoRisk - We are using compund tests but only for internal usage, to test some features. It is not a part of official test reports.",Not Evaluated,
k a,MC/DC Pairs information inadvertently displayed with simplified condition coverage and SFP set,98976,"Previously, in C/C++ Cover and unit test environments with the Coverage option ""Source File Perspective"" (SFP) set to True and with MC/DC or Statement+MC/DC coverage instrumented, the Aggregate Coverage report and the Coverage Viewer both incorrectly displayed MC/DC Pairs information when the Coverage option ""Simplified Condition Coverage"" (VCAST_SIMPLIFIED_CONDITION_COVERAGE) was also set to True. This problem has been corrected in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a usability bug in the display of information and does not affect the correctness of the underlying coverage data.,Not Evaluated,
k a,Compile error in auto-generated concrete class when default function parameter references variable in different namespace,100187,"Previously, VectorCAST/C++ generated default argument initializations for virtual method parameters when automatically generating concrete classes. This caused compile errors in the test harness if the initialization referenced a symbol in a different scope. This issue has been fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a compile error which is easily detected and fixed by a developer.,No Risk,
k a,Harness compile error due to use of deleted operator& instead ofvcast::addressof,100569,"Previously, VectorCAST/C++ generated code that failed to compile for environments containing classes with deleted operator&. This issue has been fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Stub fails to be created when base or member type has move constructor first,100832,"In previous versions of VectorCAST/C++, a constructor could fail to be stubbed if a parent or member class declared a move or copy constructor before non-move and non-copy constructors, potentially resulting in a harness link error. This problem is fixed in VectorCAST 2024 SP5.",Correction in newer version (release notes),No Risk. This is a linker error easily detected.,No Risk,
k a,Harness compile error when struct field is a const pointer to std::array,100851,"Previously, VectorCAST/C++ could not successfully compile the test harness when the source code under test included a const pointer to a std::array container, displaying an error message ""error: uninitialized const in 'new' of 'const struct std::array<..."". This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Move entire test to Unapplied Test Data if it has an import error and is disabled by a variant logic,100909,"Previously, in a VectorCAST Project with an environment in two contexts due to symbolic constant settings and a variant logic setting that has disabled a test in one context but not the other, an unending back-and-forth loop occurred where the environment opened in one context caused the test script in the other environment to be out of date due to the data in the Unapplied Test Script node. This problem has been resolved in VectorCAST Project version 2024 SP5, where a test that is disabled by a variant logic and has expected import errors due to the settings of the symbolic constants is saved in whole in the Unapplied Test Data node. Upon closing the environment within the Project, the test script remains intact for use in the environment in the other context.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI that does not affect test correctness.,No Risk,
k a,MC/DC Equivalence report missing notice about exceeding maximum subconditions in SFP,101001,"Previously, in C/C++ Cover and unit test environments with the Coverage option ""Source File Perspective"" (SFP) set to True and with MC/DC or Statement+MC/DC coverage instrumented, when an expression contained more than 52 sub-conditions, the MC/DC Equivalence and Aggregate Coverage reports incorrectly omitted the notice ""MAX CONDITIONS EXCEEDED"". This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk - SourceFile Perspective is not used.,No Risk,
k a,Instrumentation fails for a template function with no instantiations and an erroneous return type,101044,"In previous versions of VectorCAST Cover, instrumenting a template function with no instantiations and an erroneous return type could result in an instrumentation error. This problem has been fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,"Parser fails with internal error ""assertion failed""",101100,"Previously, VectorCAST/C++ gave the error: 'Internal error: assertion failed at: ""lower_name.cpp"", line 6667 in mangled_encoding_for_expression_full' for some source code when the parser flag '--set_flag=no_ms_nonreal_base_classes' was not used during instrumentation. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is an internal error and is easily detected as a build blocker.,No Risk,
k a,Unstubbed Entities Log incorrectly reports base class as abstract when usable constructor not found,101254,"In previous versions of VectorCAST/C++, the Unstubbed Entities Log incorrectly reported constructors as belonging to abstract classes in cases when they could not be called due to only having accessible constructors that take self-references (such as copy and move constructors). This has been fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a usability enhancement that provides more accurate information in a log file. It does not affect test correctness.,No Risk,
k a,"Constructors in headers displayed as ""<<INIT>>"" in Execution Results report",101353,"Previously, VectorCAST/C++ recorded constructors declared only in a header file with the name '<<INIT>>' in the DataAPI functions list and then these constructors were given the subprogram name ""<<INIT>>"" in the Execution Results report. Beginning with VectorCAST version 2024 SP5, these constructors are now recorded in the DataAPI with their correct constructor name and reported with the same constructor name in the Execution Results report. In addition, the DataAPI has a new attribute,'is_testable', to allow scripts to distinguish between testable and non-testable constructors.",Correction in newer version (release notes),No Risk. This is a reporting bug that is easily detected and does not affect the correctness of the test results themselves.,No Risk,
k a,Internal build error when coded tests enabled with Visual Studio compiler set,101422,"In previous versions of VectorCAST/C++, non-real class templates that used pointers to member functions were being unnecessarily added to the environment file named 'needed.xml', sometimes leading to a build failure, such as when coded tests were enabled with the Visual Studio compiler specified. This problem has been fixed in VectorCAST version 2024 SP5. Non-real templates are no longer added to the needed.xml file.",Correction in newer version (release notes),No Risk. This is a build error that is easily detected and fixed by a developer.,No Risk,
k a,Lamba not instrumented when initialized in member variable declaration,101449,"In previous versions of VectorCAST/C++, source code with a lambda which was passed as a constructor parameter to an object which was defined anywhere except for inside of another function was not instrumented. This problem has been fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This bug leads to missing code coverage for lambdas which a developer could easily detect by checking the instrumented source file. ,Not Evaluated,
k a,"Environment build error: ""use of deleted function""",101509,"Previously, VectorCAST/C++ could not successfully compile the test harness when the source code under test included a class having member data of a type of a class with a deleted copy constructor, displaying the error message ""error: use of deleted function"". This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,VectorCAST slow to create/open test case with numerous globals,101521,"Previously, the VectorCAST user interface was very slow to respond when inserting or opening a test case in the Test Case Editor when the source code included tens of thousands of global variables. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a performance issue that does not affect test correctness.,No Risk,
k a,Incorrect stub behavior in stdout mode for C++ test cases that call constructors,101539,"Previously, VectorCAST/C++ created a test harness which returned the wrong stub value for some tests calling constructors when the configuration option VCAST_NO_STDIN was set to true and the configuration option VCAST_ALWAYS_DO_STUB_PROCESSING_IN_TI was set to false. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),"No Risk, this is relevant for integration tests only, in case if test object can not be changed after its initialization",Risk exists,
k a,Display an error when generating a report in SFP when the environment contains basis path instrumentation,101555,"Reporting with basis paths instrumentation is incompatible with Source File Perspective (SFP).In VectorCAST version 2024 SP5, the option to enable basis path instrumentation is disabled when using SFP. To use basis path instrumentation, switch SFP mode off.",Correction in newer version (release notes),No Risk. This is a usability change that prevents a user from making an incompatible configuration. It does not fix a correctness bug.,No Risk,
k a,Environment build should fail when environment file copy fails,101561,"In previous versions of VectorCAST/C++ and VectorCAST/Ada, environment builds would not abort when files listed in the VCAST_ENVIRONMENT_FILES option could not be copied. In VectorCAST version 2024 SP5, failure to copy a file results in an error message and termination of the build process.",Correction in newer version (release notes),No Risk. The previous behavior would likely cause an obvious build or runtime failure which is easily detected.,No Risk,
k a,Aggregate Coverage and Metrics reports fail to generate for Probe Point instrumentation with SFP set,101568,"Previously, when the Coverage option ""Source File Perspective"" (SFP) was set to True, VectorCAST Cover could not correctly generate the Aggregate Coverage report or Metrics report when Probe Point coverage type was instrumented in the environment. This problem hasbeen fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),"NoRisk , ""Source File Perspective"" is not used",No Risk,
k a,Ignore VCAST_SHOW_INLINES_COVERED_IN_ALL_UNITS option in SourceFile Perspective (SFP),101592,"Previously, if the option VCAST_SHOW_INLINES_COVERED_IN_ALL_UNITS was set and the environment was using Source File Perspective, coverage for header files could be incorrect. In VectorCAST version 2024 SP5, the option is disabled in the GUI when in SFP mode, the option is ignored when adding results, and the help topic for the option is updated.",Correction in newer version (release notes),No Risk. Is easily detectable as coverage data for header files could be checked. ,No Risk,
k a,Update NVLM coupling product names and numbers,101599,"In VectorCAST version 2024 SP5 with NVLM licensing, the Coupling product names and ID numbers have changed. When available, Coupling products are now displayed in the diagnostic report as the following, where ""DE"" stands for ""Desktop Edition"" and ""SE"" stands for ""Server Edition"": Option VectorCAST/Coupling DEOption VectorCAST/Coupling SE",Correction in newer version (release notes),No Risk. This is a licensing update.,No Risk,
k a,Rebuilding VectorCAST Project environment in GUI should not relinquish license,101602,"Previously, the VectorCAST GUI released the FlexNET edition license upon Project open and checked it out again when doing an environment rebuild, update, or open of another environment of the same language. Starting with VectorCAST version 2024 SP5, the license is retained.",Correction in newer version (release notes),No Risk. This is a usability/performance enhancement related to licensing.,No Risk,
k a,VC/QA Data Summary Report causes GUI crash when an instrumented file has no functions,101640,"Previously, VectorCAST would crash when attempting to display unit-level Code Coverage Summary Report if one of the units did not contain any functions. This is fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a GUI crash which is an easily detectable usability bug that does not affect test correctness.,No Risk,
k a,Harness compile error when std::array element type has deleted move constructor or deleted move assignment operator,101699,"Previously, VectorCAST/C++ created test harness code that did not compile for std::array types where the element type had a deleted move constructor or a deleted move assignment operator. This problem has been resolved in VectorCAST version 2024 SP5. Such types will have read-only support in the test case editor's Parameter Tree.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Template function lacks SBF when a sibling member is defined in separate unit,101701,"Starting with VectorCAST version 2021 SP7, VectorCAST/C++ did not stub by function template functions when a sibling member function was defined in a separate unit. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. It is a lack of SBF capability but measures could be taken to overcome this problem.,No Risk,
k a,Harness compile error due to redeclaration of inline friend lacking constexprspecifier,101714,"In previous versions of VectorCAST/C++, the 'constexpr' keyword was not being printed for constexpr inline friend function declarations, resulting in a test harness compile error. This problem is fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Instrumentation crash for some initialization statements when using --nvidia parser flag,101734,"Previously, VectorCAST/C++ crashed when instrumenting some initialization statements when the --nvidia parser flag was used. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is an instrumentation crash which is a build blocker and easily detected by a developer.,No Risk,
k a,Probe point apply places stub-by-function modifications incorrectly for some template functions,101747,"Previously, VectorCAST/C++ placed stub-by-function modifications in the wrong locations for some template functions during application of probe points, causing a compile error. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This bug causes a compile error easily detected.,No Risk,
k a,"Parse failure: ""no suitable user-defined conversion""",VC-116,"In previous versions of VectorCAST/C++, a ""no suitable user-defined conversion"" error could incorrectly occur for some code which compiled correctly. This problem is fixed in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Full Status report missing coverage data from imported results when SFP set,VC-168,"Previously, VectorCAST Project's Status reports were failing to include metrics from imported results when the coverage option ""Source File Perspective"" (SFP) was set to True. This problem has been resolved in VectorCAST version 2024 SP5.",Correction in newer version (release notes),No Risk. This is easily detected issue and which does not affect test correctness.,No Risk,
k a,Parse error for __declspec(interrupt) for CodeWarrior,69930,"Previously, VectorCAST/C++ gave an error for CodeWarrior code containing the __declspec keyword. This problem has been resolved in VectorCAST version 2024 SP4.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,"Parser given ""--tasking --tasking_version=tricore flags"" uses GNU predefinedmacros",82224,"Previously, VectorCAST/C++ predefined the GNU macros __GNUC__, __GNUC_MINOR__, and __GNUC_PATCHLEVEL__ when parsing or preprocessing in some Tasking modes. In VectorCAST version 2024 SP4, these macros are no longer predefined in any Tasking mode.",Correction in newer version (release notes),"NoRisk, we are not using GNU compiler",Risk exists,
k a,Parse error for #pragma statements with nested parentheses,93469,"Previously, VectorCAST/C++ gave the parse error ""expected a string literal"" for #pragma statements with nested parentheses. This problem has been resolved in VectorCAST version 2024 SP4.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,"IAR parse error ""invalid type conversion"" for __section_end() builtin onreinterpret_cast",96243,"Previously, VectorCAST incorrectly gave an error when parsing some IAR code with the section operators __section_end, __section_begin, __segment_begin, __segment_end, __sfe,and __sfb. This problem has been resolved in VectorCAST version 2024 SP4.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Parse error related to template-dependent function when using --auto_builtins flag,98038,"Previously, VectorCAST/C++ incorrectly gave the parse error 'operator -> or ->* applied to ""int"" instead of to a pointer type' for some template functions when the parser flag --auto_builtins was used. This problem has been resolved in VectorCAST version 2024 SP4. Starting with that version, VectorCAST no longer attempts automatic builtin function detection in template-dependent functions.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,"Parse error for Keil ARM code using ""__asm__ volatile""",99814,"Previously, VectorCAST/C++ gave the error message 'expected a ""(""' for __asm__volatile statements when using the --arm parser flag. This problem has been resolved in VectorCAST version 2024 SP4.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,"Incorrect message ""intex command failed"" when link command fails toproduce harness",100856,"Previously, VectorCAST/C++ would erroneously report ""Index command failed"" when a link command returned exit status 0 but failed to produce the expected output file. In VectorCAST version 2024 SP4, the error message instead indicates that the link failed.",Correction in newer version (release notes),No Risk. This is a usability enhancement that provides a more helpful error message for an easily detectable failure.,No Risk,
k a,"Reports should indicate ""Unknown Requirement"" instead of insertingTraceback",100859,"Previously, generating a Test Case Data or Full Report for an environment with requirements that did not exist would return a Python stack trace error. In VectorCAST version 2024 SP4, any unmatched requirement IDs get an 'Unknown' requirement identifier added to allow the lists of requirements to work as before. the rows with a T or F Result, thus further filtering what was originally selected in the ""Coverable Section."" Multi-selecting of rows and columns in various widgets is supported.",Correction in newer version (release notes),No Risk. This is a usability enhancement that provides a cleaner report for an easily detectable error.,No Risk,
k a,Output file created in wrong location if directory exists with same name asthe output filename,100935,"Previously, when using an MSVC compiler in a Cover environment with the vcwrap workflow, if the compile command specified an output file and there existed a directory with the same name as the output file, VectorCAST would create the output file in that directory. This problem has been corrected in VectorCAST version 2024 SP4, where the output file is correctly created in the appropriate directory.",Correction in newer version (release notes),No Risk. This bug would likely lead to a build failure which is easily detected.,No Risk,
